x,t,u_fem,u_pinn,error
0.6060606060606061,0.11111111111111112,0.9426877003309873,0.9435570771835745,0.0008693768525872558
0.6161616161616162,0.11111111111111112,0.942343823351584,0.9431112117703011,0.000767388418717152
0.6262626262626263,0.11111111111111112,0.9400629973592137,0.9403213156216922,0.000258318262478463
0.6363636363636365,0.11111111111111112,0.9346838216432514,0.9339338631004178,0.0007499585428335509
0.6464646464646465,0.11111111111111112,0.9250092104967642,0.9233313811043151,0.0016778293924490928
0.6565656565656566,0.11111111111111112,0.9102193711114783,0.9086183683419515,0.0016010027695267937
0.6666666666666667,0.11111111111111112,0.8902022782225772,0.8895825587542036,0.0006197194683736917
0.6767676767676768,0.11111111111111112,0.8654768326420472,0.8654080013763126,6.883126573464793e-05
0.686868686868687,0.11111111111111112,0.8367228347837212,0.8360224222307021,0.0007004125530191141
0.696969696969697,0.11111111111111112,0.8042928194498346,0.8022431679721567,0.002049651477677883
0.7070707070707072,0.11111111111111112,0.7602783129476066,0.7644167668029395,0.0041384538553328465
0.7171717171717172,0.11111111111111112,0.7187972656326637,0.7223529863080255,0.0035557206753618065
0.7272727272727273,0.11111111111111112,0.672717098937459,0.6761542599623817,0.0034371610249226414
0.7373737373737375,0.11111111111111112,0.6227562847607154,0.6266551579066062,0.003898873145890769
0.7474747474747475,0.11111111111111112,0.5709352351717164,0.575425062754455,0.004489827582738637
0.7575757575757577,0.11111111111111112,0.5202897222938915,0.5247013067472907,0.0044115844533991755
0.7676767676767677,0.11111111111111112,0.4739042143908173,0.4770415896284909,0.003137375237673601
0.7777777777777778,0.11111111111111112,0.4338961617573004,0.4346813730628244,0.0007852113055240029
0.787878787878788,0.11111111111111112,0.40101420006354355,0.3990026446334448,0.0020115554300987326
0.797979797979798,0.11111111111111112,0.37489475137566364,0.37012983740868594,0.004764913966977702
0.8080808080808082,0.11111111111111112,0.3545759304886451,0.34740721070659497,0.007168719782050137
0.8181818181818182,0.11111111111111112,0.3389280865156118,0.329993001777665,0.008935084737946797
0.8282828282828284,0.11111111111111112,0.3268978108192816,0.31690715354679355,0.009990657272488046
0.8383838383838385,0.11111111111111112,0.31760290363690324,0.3069997515323224,0.010603152104580849
0.8484848484848485,0.11111111111111112,0.31033494523398963,0.2991054131916572,0.011229532042332457
0.8585858585858587,0.11111111111111112,0.3041286337452246,0.2921642701284948,0.011964363616729812
0.8686868686868687,0.11111111111111112,0.29704701732821925,0.28526671953491517,0.011780297793304084
0.8787878787878789,0.11111111111111112,0.2888448587812817,0.2777810195875693,0.0110638391937124
0.888888888888889,0.11111111111111112,0.279373810657921,0.26930823567118956,0.01006557498673144
0.8989898989898991,0.11111111111111112,0.2684706133085468,0.25949157283518665,0.008979040473360178
0.9090909090909092,0.11111111111111112,0.2532097633743948,0.24800852883221014,0.005201234542184685
0.9191919191919192,0.11111111111111112,0.2383832591337486,0.2346073100462599,0.0037759490874887114
0.9292929292929294,0.11111111111111112,0.22132105948227102,0.21900095930785746,0.0023201001744135585
0.9393939393939394,0.11111111111111112,0.20166593990316667,0.20075092354975854,0.0009150163534081268
0.9494949494949496,0.11111111111111112,0.17899735699200792,0.1793094489455626,0.000312091953554694
0.9595959595959597,0.11111111111111112,0.15282422154428013,0.15407015140583571,0.0012459298615555836
0.9696969696969697,0.11111111111111112,0.12257285422821802,0.12434325500331994,0.0017704007751019185
